"Altitude","Density"
13700,0.00156029
13710,0.00155978
13720,0.00155928
13730,0.00155878
13740,0.00155827
13750,0.00155777
13760,0.00155727
13770,0.00155676
13780,0.00155626
13790,0.00155576
13800,0.00155525
13810,0.00155475
13820,0.00155425
13830,0.00155375
13840,0.00155324
13850,0.00155274
13860,0.00155224
13870,0.00155174
13880,0.00155124
13890,0.00155073
13900,0.00155023
13910,0.00154973
13920,0.00154923
13930,0.00154873
13940,0.00154823
13950,0.00154773
13960,0.00154723
13970,0.00154672
13980,0.00154622
13990,0.00154572
14000,0.00154522
14010,0.00154472
14020,0.00154422
14030,0.00154372
14040,0.00154322
14050,0.00154272
14060,0.00154222
14070,0.00154172
14080,0.00154122
14090,0.00154073
14100,0.00154023
14110,0.00153973
14120,0.00153923
14130,0.00153873
14140,0.00153823
14150,0.00153773
14160,0.00153723
14170,0.00153674
14180,0.00153624
14190,0.00153574
14200,0.00153524
14210,0.00153474
14220,0.00153425
14230,0.00153375
14240,0.00153325
14250,0.00153275
14260,0.00153226
14270,0.00153176
14280,0.00153126
14290,0.00153077
14300,0.00153027
14310,0.00152977
14320,0.00152928
14330,0.00152878
14340,0.00152828
14350,0.00152779
14360,0.00152729
14370,0.0015268
14380,0.0015263
14390,0.0015258
14400,0.00152531
14410,0.00152481
14420,0.00152432
14430,0.00152382
14440,0.00152333
14450,0.00152283
14460,0.00152234
14470,0.00152184
14480,0.00152135
14490,0.00152086
14500,0.00152036
14510,0.00151987
14520,0.00151937
14530,0.00151888
14540,0.00151839
14550,0.00151789
14560,0.0015174
14570,0.00151691
14580,0.00151641
14590,0.00151592
14600,0.00151543
14610,0.00151493
14620,0.00151444
14630,0.00151395
14640,0.00151346
14650,0.00151296
14660,0.00151247
14670,0.00151198
14680,0.00151149
14690,0.00151099
14700,0.0015105
14710,0.00151001
14720,0.00150952
14730,0.00150903
14740,0.00150854
14750,0.00150805
14760,0.00150756
14770,0.00150706
14780,0.00150657
14790,0.00150608
14800,0.00150559
14810,0.0015051
14820,0.00150461
