,0,1,2,3,4,5,6
310,7.0,2.2,202.0,138.0,0.0019,11.7,1010.0
311,20.0,2.2,247.0,100.0,0.001,11.7,663.0
312,17.0,2.2,179.0,102.0,0.0015,8.0,705.0
313,18.0,0.97,43.0,71.0,0.0015,11.7,99.0
314,25.0,2.2,220.0,110.0,0.0007,11.7,636.0
315,26.0,0.97,218.0,159.0,0.0004,8.0,930.0
316,17.0,2.2,144.0,127.0,0.0019,8.0,916.0
317,17.0,2.2,243.0,83.0,0.0014,11.7,557.0
318,12.0,0.97,58.0,70.0,0.001,8.0,133.0
319,16.0,0.97,10.0,126.0,0.0021,11.7,89.0
320,24.0,0.97,118.0,134.0,0.0019,8.0,689.0
321,12.0,2.2,65.0,90.0,0.0013,8.0,264.0
322,11.0,2.2,235.0,155.0,0.0003,11.7,648.0
323,27.0,0.97,216.0,60.0,0.0017,8.0,368.0
324,26.0,0.97,236.0,157.0,0.0004,8.0,967.0
325,15.0,0.97,168.0,148.0,0.0022,8.0,1094.0
326,22.0,0.97,65.0,99.0,0.0014,8.0,252.0
327,30.0,0.97,214.0,146.0,0.0001,11.7,487.0
328,20.0,0.97,233.0,98.0,0.0002,11.7,285.0
329,10.0,2.2,33.0,119.0,0.0003,8.0,169.0
330,15.0,2.2,183.0,155.0,0.0004,8.0,976.0
331,28.0,0.97,179.0,149.0,0.0009,8.0,901.0
332,27.0,0.97,139.0,138.0,0.0003,8.0,498.0
333,11.0,0.97,54.0,134.0,0.0017,8.0,382.0
334,30.0,2.2,78.0,137.0,0.001,8.0,561.0
335,13.0,2.2,190.0,98.0,0.0009,8.0,612.0
336,24.0,0.97,163.0,100.0,0.0007,8.0,438.0
337,24.0,2.2,147.0,72.0,0.0013,8.0,361.0
338,9.0,0.97,80.0,83.0,0.0014,8.0,215.0
339,24.0,0.97,147.0,100.0,0.0022,8.0,529.0
340,28.0,2.2,37.0,83.0,0.002,11.7,141.0
341,7.0,2.2,164.0,167.0,0.0017,11.7,1206.0
342,29.0,0.97,35.0,107.0,0.001,8.0,165.0
343,6.0,2.2,246.0,159.0,0.0009,11.7,666.0
344,15.0,0.97,214.0,156.0,0.0002,11.7,392.0
345,8.0,0.97,43.0,171.0,0.0005,8.0,268.0
346,17.0,2.2,80.0,65.0,0.0002,11.7,124.0
347,24.0,0.97,201.0,96.0,0.0009,11.7,442.0
348,18.0,2.2,125.0,78.0,0.0014,11.7,304.0
349,18.0,0.97,90.0,156.0,0.0019,11.7,591.0
350,26.0,2.2,224.0,74.0,0.0006,11.7,396.0
351,21.0,0.97,229.0,89.0,0.0023,8.0,636.0
352,14.0,2.2,121.0,165.0,0.0007,8.0,953.0
353,15.0,0.97,126.0,139.0,0.0022,11.7,647.0
354,16.0,0.97,125.0,152.0,0.0016,8.0,847.0
355,11.0,0.97,83.0,133.0,0.0023,11.7,450.0
356,9.0,2.2,131.0,100.0,0.0005,8.0,310.0
357,25.0,2.2,148.0,124.0,0.0019,11.7,725.0
358,8.0,0.97,23.0,79.0,0.0021,8.0,91.0
359,12.0,0.97,152.0,136.0,0.0014,11.7,635.0
360,8.0,0.97,195.0,118.0,0.0023,11.7,602.0
361,15.0,2.2,71.0,92.0,0.0017,11.7,257.0
362,20.0,0.97,165.0,62.0,0.0008,8.0,269.0
363,21.0,0.97,76.0,134.0,0.0013,8.0,451.0
364,14.0,2.2,175.0,90.0,0.0014,8.0,566.0
365,13.0,0.97,220.0,108.0,0.002,8.0,784.0
366,10.0,2.2,85.0,118.0,0.0021,11.7,460.0
367,9.0,2.2,107.0,153.0,0.0022,11.7,858.0
368,27.0,2.2,17.0,87.0,0.0019,11.7,84.0
369,14.0,0.97,127.0,88.0,0.002,8.0,385.0
370,26.0,2.2,85.0,99.0,0.0019,11.7,338.0
371,15.0,0.97,231.0,138.0,0.0004,8.0,570.0
372,26.0,0.97,91.0,142.0,0.0004,8.0,409.0
373,22.0,0.97,130.0,61.0,0.0021,8.0,253.0
374,9.0,2.2,135.0,104.0,0.0022,8.0,653.0
375,15.0,0.97,158.0,172.0,0.0009,8.0,1047.0
376,27.0,2.2,231.0,141.0,0.001,8.0,1278.0
377,22.0,0.97,201.0,142.0,0.0009,8.0,908.0
378,8.0,2.2,197.0,112.0,0.0021,8.0,919.0
379,16.0,2.2,227.0,89.0,0.0018,8.0,721.0
380,29.0,2.2,95.0,155.0,0.0012,11.7,675.0
381,28.0,0.97,103.0,179.0,0.0015,11.7,771.0
382,26.0,2.2,125.0,60.0,0.0019,11.7,239.0
383,15.0,2.2,102.0,138.0,0.001,11.7,553.0
384,18.0,0.97,113.0,63.0,0.0008,8.0,198.0
385,10.0,0.97,20.0,131.0,0.0013,8.0,169.0
386,10.0,2.2,35.0,76.0,0.0008,11.7,96.0
387,15.0,2.2,51.0,138.0,0.001,11.7,337.0
388,11.0,0.97,215.0,157.0,0.0011,8.0,984.0
389,28.0,2.2,239.0,109.0,0.0004,11.7,593.0
390,23.0,2.2,29.0,101.0,0.0023,11.7,168.0
391,22.0,0.97,153.0,179.0,0.0016,8.0,1302.0
392,21.0,0.97,36.0,128.0,0.002,11.7,223.0
393,18.0,2.2,122.0,90.0,0.0008,8.0,376.0
394,27.0,2.2,62.0,72.0,0.0013,11.7,155.0
395,14.0,2.2,75.0,151.0,0.0018,8.0,776.0
396,14.0,0.97,102.0,85.0,0.0015,11.7,246.0
397,12.0,0.97,202.0,126.0,0.0003,8.0,258.0
398,8.0,2.2,60.0,173.0,0.0019,11.7,687.0
399,14.0,0.97,35.0,142.0,0.0006,11.7,185.0
400,24.0,0.97,87.0,114.0,0.0015,11.7,326.0
401,28.0,0.97,158.0,78.0,0.0016,8.0,372.0
402,21.0,0.97,101.0,148.0,0.0007,11.7,447.0
403,26.0,2.2,59.0,110.0,0.0007,8.0,286.0
404,9.0,2.2,243.0,172.0,0.0015,11.7,1665.0
405,12.0,2.2,140.0,69.0,0.0019,8.0,356.0
406,12.0,0.97,201.0,126.0,0.0016,8.0,858.0
407,26.0,2.2,130.0,122.0,0.001,11.7,542.0
408,17.0,2.2,203.0,178.0,0.0021,11.7,1735.0
409,22.0,0.97,219.0,140.0,0.0021,11.7,967.0
410,29.0,0.97,14.0,84.0,0.0001,8.0,33.0
411,9.0,2.2,181.0,83.0,0.002,11.7,475.0
412,18.0,0.97,96.0,117.0,0.0017,8.0,460.0
413,23.0,2.2,133.0,111.0,0.0008,11.7,452.0
414,18.0,2.2,92.0,99.0,0.0001,11.7,185.0
415,17.0,2.2,221.0,68.0,0.0019,8.0,503.0
416,30.0,2.2,91.0,66.0,0.0013,11.7,190.0
417,21.0,2.2,38.0,94.0,0.0009,11.7,142.0
418,30.0,0.97,210.0,115.0,0.0018,11.7,672.0
419,19.0,0.97,54.0,74.0,0.0019,8.0,155.0
420,18.0,2.2,145.0,167.0,0.0019,11.7,1187.0
421,28.0,0.97,188.0,61.0,0.0021,11.7,306.0
422,29.0,0.97,202.0,146.0,0.0017,8.0,1134.0
423,21.0,0.97,113.0,80.0,0.0003,11.7,189.0
424,7.0,2.2,158.0,80.0,0.0016,8.0,373.0
425,9.0,0.97,25.0,88.0,0.0006,8.0,83.0
426,12.0,2.2,159.0,88.0,0.0006,11.7,357.0
427,26.0,2.2,193.0,177.0,0.0011,8.0,1715.0
428,10.0,2.2,161.0,166.0,0.0008,11.7,982.0
429,18.0,2.2,131.0,109.0,0.0008,8.0,526.0
430,9.0,0.97,121.0,111.0,0.0008,8.0,273.0
431,23.0,0.97,134.0,112.0,0.0014,11.7,432.0
432,25.0,2.2,227.0,78.0,0.0021,8.0,624.0
433,21.0,2.2,228.0,174.0,0.0001,11.7,759.0
434,15.0,0.97,102.0,170.0,0.0006,8.0,669.0
435,11.0,0.97,38.0,76.0,0.0002,8.0,50.0
436,26.0,0.97,29.0,74.0,0.0012,8.0,86.0
437,19.0,2.2,44.0,121.0,0.0018,8.0,359.0
438,26.0,2.2,95.0,180.0,0.0009,11.7,806.0
439,16.0,2.2,157.0,114.0,0.0003,8.0,503.0
440,12.0,0.97,124.0,176.0,0.0017,8.0,1111.0
441,22.0,0.97,115.0,150.0,0.001,11.7,552.0
442,6.0,2.2,103.0,60.0,0.0003,11.7,103.0
443,20.0,2.2,186.0,169.0,0.0002,11.7,770.0
444,25.0,2.2,201.0,86.0,0.0003,8.0,428.0
445,23.0,0.97,61.0,87.0,0.0006,11.7,139.0
446,20.0,2.2,59.0,114.0,0.0005,8.0,277.0
447,7.0,0.97,185.0,74.0,0.0002,11.7,185.0
448,24.0,0.97,35.0,145.0,0.0022,11.7,279.0
